Lexem,Genus,Worttrennung,IPA,Wortart,Nomen
Bacile,nmn,Ba·ci·le,baˈt͡ʃiːlə,Substantiv,TRUE
Bacile,mmn,Ba·ci·le,baˈt͡ʃiːlə,Substantiv,TRUE
Bacile,mmn,Ba·ci·le,,Substantiv,TRUE
Bahai,mnn,Ba·hai,baˈhaɪ̯,Substantiv,TRUE
Bahai,fnn,Ba·hai,baˈhaɪ̯,Substantiv,TRUE
Bahai,fnn,Ba·hai,,Substantiv,TRUE
,mnn,10-Fran·ken-Schein,t͡seːnˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,mnn,20-Fran·ken-Schein,t͡svant͡sɪçˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,mnn,50-Fran·ken-Schein,fʏnft͡sɪçˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,mnn,100-Fran·ken-Schein,hʊndɐtˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,mnn,200-Fran·ken-Schein,t͡svaɪ̯hʊndɐtˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,mnn,1000-Fran·ken-Schein,taʊ̯zn̩tˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,fnn,10-Fran·ken-No·te,t͡seːnˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,fnn,20-Fran·ken-No·te,t͡svant͡sɪçˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,fnn,50-Fran·ken-No·te,fʏnft͡sɪçˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,fnn,100-Fran·ken-No·te,hʊndɐtˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,fnn,200-Fran·ken-No·te,t͡svaɪ̯hʊndɐtˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,fnn,1000-Fran·ken-No·te,taʊ̯zn̩tˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,nnn,10-Pfen·nig-Stück,t͡seːnˈp͡fɛnɪçˌʃtʏk,Substantiv,TRUE
,mmn,2-Mark-Schein,t͡svaɪ̯ˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,mnf,8-Stun·den-Tag,axtˈʃtʊndn̩ˌtaːk,Substantiv,TRUE
Seiche,fnf,Seiche,sɛʃ,Substantiv,TRUE
Seiche,fnf,Sei·che,sɛʃ,Substantiv,TRUE
Seiche,fnf,Sei·che,ˈzaɪ̯çə,Substantiv,TRUE
Meursault,fnf,Meursault,,Substantiv,TRUE
Meursault,mnf,Meursault,,Substantiv,TRUE
Meursault,mnf,Meur·sault,,Substantiv,TRUE
,nnf,2-Bu·tin,ˌt͡svaɪ̯buˈtiːn,Substantiv,TRUE
Abteiltüre,fnf,Ab·teil·tü·re,apˈtaɪ̯lˌtyːʁə,Substantiv,TRUE
Abteiltüre,fnf,Ab·teil·tü·re,:{{IPA|AT {{Lautschrift|ˈaptaɪ̯lˌtyːʁə}},Substantiv,TRUE
,mnf,3-Uhr-Zug,dʁaɪ̯ˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,mnf,5-Uhr-Zug,fʏnfˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,mnf,6-Uhr-Zug,zɛksˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,mnf,7-Uhr-Zug,ziːbn̩ˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,mnf,8-Uhr-Zug,axtˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,mnf,10-Uhr-Zug,t͡seːnˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,fnf,3-Uhr-Vor·stel·lung,dʁaɪ̯ˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,fnf,5-Uhr-Vor·stel·lung,fʏnfˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,fnf,6-Uhr-Vor·stel·lung,zɛksˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,fnf,7-Uhr-Vor·stel·lung,ziːbn̩ˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,fnf,8-Uhr-Vor·stel·lung,axtˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,fnf,10-Uhr-Vor·stel·lung,t͡seːnˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
Motorbus,mff,Mo·tor·bus,ˈmotoːɐ̯ˌbʊs,Substantiv,TRUE
Motorbus,mff,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
,mmf,Schrö·din·gers Kat·ze,ˌʃʁøːdɪŋɐs ˈkat͡sə,Substantiv,TRUE
Hippocampus,mnf,Hip·po·cam·pus,hɪpoˈkampʊs,Substantiv,TRUE
,fmm,102-Jäh·ri·ge,hʊndɐtˈt͡svaɪ̯ˌjɛːʁɪɡə,Substantiv,TRUE
,mmm,102-Jäh·ri·ger,hʊndɐtˈt͡svaɪ̯ˌjɛːʁɪɡɐ,Substantiv,TRUE
Artilleriegeschoss,nmm,Ar·til·le·rie·ge·schoss,aʁtɪləˈʁiːɡəˌʃɔs,Substantiv,TRUE
Artilleriegeschoss,nmm,Ar·til·le·rie·ge·schoss,aʁtɪləˈʁiːɡəˌʃoːs,Substantiv,TRUE
Überspannung,fnm,Über·span·nung,ˈyːbɐˌʃpanʊŋ,Substantiv,TRUE
Überspannung,fnm,Über·span·nung,ˌyːbɐˈʃpanʊŋ,Substantiv,TRUE
Review,mfn,Re·view,riˈvjuː,Substantiv,TRUE
Review,ffn,Re·view,riˈvjuː,Substantiv,TRUE
Review,ffn,Re·view,,Substantiv,TRUE
C,nfn,C3,t͡seːˈdʁaɪ̯,Substantiv,TRUE
C,nfn,C2,t͡seːˈt͡svaɪ̯,Substantiv,TRUE
C,nfn,C1,t͡seːˈaɪ̯ns,Substantiv,TRUE
C,nfn,C0,t͡seːˈnʊl,Substantiv,TRUE
,mfn,Ho·mo lo·quax,ˈhoːmo ˈlokvaːks,Substantiv,TRUE
Kanun,mfn,Ka·nun,kaˈnuːn,Substantiv,TRUE
Kanun,mfn,Ka·nun,ˈkaːnʊn,Substantiv,TRUE
Bougainville,fmn,Bou·gain·vil·lea,,Substantiv,TRUE
Bougainville,fmn,Bou·gain·vil·lie,buɡɛˈvɪli̯ə,Substantiv,TRUE
Baba,fmn,Ba·ba,ˈbaːba,Substantiv,TRUE
Baba,mmn,Ba·ba,ˈbaːba,Substantiv,TRUE
Baba,mmn,Ba·ba,baˈbaː,Substantiv,TRUE
Baba,fmn,Ba·ba,baˈbaː,Substantiv,TRUE
Baba,fmn,Ba·ba,,Substantiv,TRUE
Helles,nfn,Hel·les,ˈhɛləs,Substantiv,TRUE
Helles,nfn,In meiner Schulausgabe der 38. Auflage kann in beiden Fällen vor dem l abgeteilt (österr. für getrennt) werden,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,nfn,@[[Benutzer:Master of Contributions|MoC]] „Von meiner Seite aus wäre es mit einer Anmerkung und der Angabe der in Wahrig angegebenen Worttrennung getan.“ – Mit Ersterem bin ich einverstanden,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,nfn,Wäre es auch in deinem Sinne,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,nfn,:Hallo [[Benutzer:IvanP|IvanP]],::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,nfn,##Erst dann,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,nfn,### --[[Benutzer:Betterknower|Betterknower]] &lt;small&gt;([[User talk:Betterknower|Diskussion]])&lt;/small&gt; 23:07,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
HTML,nff,HTML5,,Substantiv,TRUE
K,fnf,K.-o.-Nie·der·la·ge,…,Substantiv,TRUE
K,nnf,K.-o.-Sys·tem,kaːˈʔoːzʏsˌteːm,Substantiv,TRUE
Geschosshöhe,fnf,Ge·schoss·hö·he,ɡəˈʃɔsˌhøːə,Substantiv,TRUE
Geschosshöhe,fnf,Ge·schoss·hö·he,ɡəˈʃoːsˌhøːə,Substantiv,TRUE
Ting,nff,Ting,tɪŋ,Substantiv,TRUE
Ting,nff,<model>wikitext</model>,<comment>Korrektur Worttrennung; IPA</comment>,Substantiv,TRUE
Umschreibung,fff,Um·schrei·bung,ʊmˈʃʁaɪ̯bʊŋ,Substantiv,TRUE
Umschreibung,fff,Um·schrei·bung,ˈʊmˌʃʁaɪ̯bʊŋ,Substantiv,TRUE
Stepper,mff,Step·per,ˈstɛpɐ,Substantiv,TRUE
Stepper,mff,Step·per,ˈʃtɛpɐ,Substantiv,TRUE
Hyperaktivität,fmf,Hy·per·ak·ti·vi·tät,ˌhypɐʔaktiviˈtɛːt,Substantiv,TRUE
Hyperaktivität,fmf,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Oxford,fmf,Ox·ford,ˈɒksfəd,Substantiv,TRUE
Oxford,nmf,Ox·ford,ˈɒksfəd,Substantiv,TRUE
Oxford,nmf,Ox·ford,,Substantiv,TRUE
Pick,mnf,Pick,pɪk,Substantiv,TRUE
Pick,mnf,Pick,,Substantiv,TRUE
Bema,nnn,Be·ma,ˈbeːma,Substantiv,TRUE
Bema,nnn,Be·ma,,Substantiv,TRUE
,nnn,1,,Substantiv,TRUE
Tetramethylenglykol,nnn,Te·t·ra·me·thy·len·gly·kol,,Substantiv,TRUE
Spassbremse,mnn,Spass·brem·se,ˈʃpaːsˌbʁɛmzə,Substantiv,TRUE
Spassbremse,mnn,Spass·brem·se,ˈʃpasˌbʁɛmzə,Substantiv,TRUE
,fmn,0,nʊlkɔmadʁaɪ̯dʁaɪ̯ˈliːtɐˌflaʃə,Substantiv,TRUE
,nnn,24-Stun·den-Ren·nen,fiːɐ̯ʔʊntt͡svant͡sɪçˈʃtʊndn̩ˌʁɛnən,Substantiv,TRUE
Beige,nfn,Beige,beːʃ,Substantiv,TRUE
Beige,ffn,Beige,beːʃ,Substantiv,TRUE
Beige,ffn,Bei·ge,beːʃ,Substantiv,TRUE
Beige,ffn,Bei·ge,ˈbaɪ̯ɡə,Substantiv,TRUE
Stellenwert,mmn,Stel·len·wert,ˈʃtɛlənˌveːɐ̯t,Substantiv,TRUE
Stellenwert,mmn,Stel·len·wert,ˈʃtɛlnˌveːɐ̯t,Substantiv,TRUE
,ffn,0,nʊlkɔmafʏnfˈliːtɐˌflaʃə,Substantiv,TRUE
,ffn,0,nʊlkɔmat͡svaɪ̯ˈliːtɐˌflaʃə,Substantiv,TRUE
,ffn,0,nʊlkɔmaziːbn̩ˈliːtɐˌflaʃə,Substantiv,TRUE
,ffn,0,nʊlkɔmaziːbn̩fʏnfˈliːtɐˌflaʃə,Substantiv,TRUE
,nmn,Ber·li·ner Fens·ter,bɛʁˌliːnɐ ˈfɛnstɐ,Substantiv,TRUE
Geschoßhöhe,fnn,Ge·schoß·hö·he,ɡəˈʃoːsˌhøːə,Substantiv,TRUE
Geschoßhöhe,fnn,Ge·schoß·hö·he,ɡəˈʃɔsˌhøːə,Substantiv,TRUE
,mnn,90-Mi·nü·ter,ˈnɔɪ̯nt͡sɪçmiˌnyːtɐ,Substantiv,TRUE
Werbeheini,mnn,Wer·be·hei·ni,ˈvɛʁbəˌhaɪ̯ni,Substantiv,TRUE
Werbeheini,mnn,Pro·vinz·hei·ni,pʁoˈvɪnt͡sˌhaɪ̯ni,Substantiv,TRUE
Jonglage,ffn,Jon·g·la·ge,ʒɔŋˈɡlaːʒə,Substantiv,TRUE
Jonglage,ffn,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Franchise,nmn,Fran·chise,ˈfʁɛnʃaɪ̯s,Substantiv,TRUE
Franchise,fmn,Fran·chise,ˈfʁɛnʃaɪ̯s,Substantiv,TRUE
Franchise,fmn,Fran·chi·se,ˈfʁɛnʃaɪ̯s,Substantiv,TRUE
Franchise,fmn,Fran·chi·se,fʁɑ̃ˈʃiːzə,Substantiv,TRUE
Landesverteidigung,fmf,Luft·ver·tei·di·gung,ˈlʊftfɛɐ̯ˌtaɪ̯dɪɡʊŋ,Substantiv,TRUE
Kasachisch,mmf,Kasch·ga·isch,…,Substantiv,TRUE
Glacé,mnf,Gla·cé,ɡlaˈseː,Substantiv,TRUE
Glacé,nnf,Gla·cé,ɡlaˈseː,Substantiv,TRUE
Glacé,nnf,Gla·cé,,Substantiv,TRUE
,nnf,1,,Substantiv,TRUE
Tetramethylenglykol,nnf,Bu·tan-1,,Substantiv,TRUE
Hippocampus,mnf,Hip·po·kam·pus,hɪpoˈkampʊs,Substantiv,TRUE
Dunkelfeld,nnf,Dun·kel·feld,ˈdʊŋkl̩ˌfɛlt,Substantiv,TRUE
Dunkelfeld,nnf,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Khoisan,0ff,{{kSg.}},,Substantiv,TRUE
Khoisan,nff,{{kSg.}},,Substantiv,TRUE
Khoisan,nff,Khoi·san,,Substantiv,TRUE
Pica,fmf,Pi·ca,ˈpiːka,Substantiv,TRUE
Pica,fmf,Pica,ˈpiːka,Substantiv,TRUE
Missale,nmf,Mis·sa·le,mɪˈsaːlə,Substantiv,TRUE
Missale,nmf,Mis·sal,mɪˈsaːl,Substantiv,TRUE
Missale,fmf,Mis·sal,mɪˈsaːl,Substantiv,TRUE
Kinderbekleidung,fmf,Kin·der·be·klei·dung,ˈkɪndɐbəˌklaɪ̯dʊŋ,Substantiv,TRUE
Kinderbekleidung,fmf,Kin·der·klei·dung,ˈkɪndɐˌklaɪ̯dʊŋ,Substantiv,TRUE
,mmf,8-Ton·ner,ˈaxtˌtɔnɐ,Substantiv,TRUE
